,id,username,context,time,source,href,judge
94,1959398451,邯郸身边事,【#杭州萧山区突发山体滑坡#】受台风“烟花”外围影响，杭州市萧山区河上镇东山村金家坞突发山体滑坡，有房屋被压，村内断电，暂时无人员伤亡。#萧山暴雨##关注台风烟花# O网页链接 http://mapi/8842ff52ly1gsrzjgfhj4j207k0dcmxr,07月24日 22:59,女粉丝送的iPhone客户端,https://weibo.com/1959398451?refer_flag=1001030103_,假
96,6484551557,你龟姐姐,外来援助河南的救援队，请不要再到郑州了，请直达焦作，修武，新乡，获嘉，辉县，占城镇 峪河镇 现在这边的情况更严重。这个视频是我的家乡东水寨，大堤已经决堤了，水都往我们附近的村里流，但是还是不止，水位还在涨，我们坚决支持国家，但是请帮助我的家乡，还有那里的人民。看见的帮忙转发，谢谢🙏🙏🙏 2焦作·修武县 L球球是我的好朋友的微博视频 ,07月22日 23:32,微博视频号,https://weibo.com/6484551557?refer_flag=1001030103_,真
98,7406365917,追雪肖肖的笑,#每天向肖战道晚安# 哈哈哈哈哈哈哈哈，三哥嫩嫩哒，这个造型可爱乖乖哒@X玖少年团肖战DAYTOY 我滴个乖乖，这么嫩，清新脱俗yyds 好想rua 一下这位宝宝小三哥，现在敢来个这样的自拍吗？@X玖少年团肖战DAYTOY 台风暴雨，横店也是大雨吧，有休息吗？@X玖少年团肖战DAYTOY 注意安全第一，每天都是最初见你的感觉， 肖战:晚安！wanan，good night！#虾 什么事情都想告诉帅哥肖战# ,07月24日 22:59,灵魂纯净肖战顺顺利利,https://weibo.com/7406365917?refer_flag=1001030103_,假
101,2298617255,胖阿四,大晚上，闪电打了好几个，不是在渡劫就是要下暴雨了。速速回,07月24日 22:59,HUAWEI Mate 40 Pro,https://weibo.com/2298617255?refer_flag=1001030103_,假
105,5607833532,奇幻尽头,#绍兴暴雨# 扩,07月24日 12:13,绍兴超话,https://weibo.com/5607833532?refer_flag=1001030103_,假
106,3143264792,富贵竹竹7,专业的人做专业的事情，灾区的话没有救助经验的明星就别去添乱了吧，你这扶个老人上船旁边还要专门配个拍照的，然后干一会儿你体力不支了，还要有两个志愿者去架着走作秀真的看吐了。然后粉丝还要不停的占据公共资源和热门来吹，恶心死了。#河南暴雨救援#,07月24日 22:59,三星android智能手机,https://weibo.com/3143264792?refer_flag=1001030103_,假
107,5589920734,我有只锅,"万万没想到绍兴这次这么台风暴雨那么严重
我宝宝都没有车回去了哈哈哈哈哈哈在我家呆着好好陪我吧哈哈哈哈哈",07月24日 22:59,nova4自拍极点全面屏,https://weibo.com/5589920734?refer_flag=1001030103_,假
109,1362247790,包包包包包包子冏rz,这次的暴雨覆盖面真的广，下午有个开封的同学发信息看他拍的画面他们那也淹了一大片。还有有几个同学家在新乡，祝大家平安。,07月24日 11:34,微博视频号,https://weibo.com/1362247790?refer_flag=1001030103_,假
110,1781635060,我想要变成吃货,#郑州地铁失联人员家属申请地下搜救# 🙏#郑州地铁失联者家属盼专业救援# 🙏#继续寻找沙涛# 🙏#上海女子赶赴郑州地铁5号线寻夫# 🙏🙏🙏救命啊！！！@郑州发布 @河南暴雨互助 @河南卫视,07月24日 19:46,iPhone客户端,https://weibo.com/1781635060?refer_flag=1001030103_,假
111,1955971021,Iloveanimals,//@麻尾:扩//@万茜:河南暴雨紧急求助通道开启,07月21日 04:49,微博 weibo.com,https://weibo.com/1955971021?refer_flag=1001030103_,假
113,7613751778,恋幂爱旭,杨幂杨幂//@杨幂:一定要平平安安！ #河南暴雨互助#,07月20日 19:24,微博 weibo.com,https://weibo.com/7613751778?refer_flag=1001030103_,假
114,7274192106,适合独处-,"#台风烟花袭来# 绍兴的暴雨……这只是外围云系而已啊……台风本体还没来 ，台风本体登陆后，将会在我省回旋，给我省带来持续性的强降雨，请密切关注最新的预报信息。省防汛抗旱指挥部已启动防台风I级应急响应。
另外大家可以在微博搜索：XX气象或者XX天气，关注气象部门的官方账号，及时获取最新的预报预警信息，做好相关的防范工作。
#台风#
L温州气象爱好者的微博视频 ",07月24日 11:20,人见人爱的Android,https://weibo.com/7274192106?refer_flag=1001030103_,假
116,5832816917,2000格格3000,#河南暴雨互助# //@懒得作诗:#河南暴雨救援# 【全村8000余人被困‼️】,07月24日 01:09,iPhone客户端,https://weibo.com/5832816917?refer_flag=1001030103_,假
117,2701840421,变量Ai,#新乡##卫辉暴雨# 快哭了，真的快哭了，本来以为已经没事了，但一觉醒来发现天又来了个急转弯！！！雨又下了一夜，卫河快要决堤了！！！！新乡、卫辉、辉县已经岌岌可危了！！！！新乡不是乡啊！它是一个市啊！！！卫辉为爆破河堤已经牺牲了好几个村子了！！！现在几乎所有青壮年男性都上河堤了，救援力量还是不够！微博上依旧歌舞升平，还管流量明星的破事！人命关天啊！！！郑州是没事了，可其他地方呢？！！！不是没事了啊！救援队再来点吧！！！真的快要顶不住了！！！想回家都回不了，只能在单位跟同事在一起等消息，同事的姐姐已经失联了，这种滋味太难受了下面这张图是卫辉市政府，这种情况政府官员还在岗位上守着，但是真的好想回家啊 ,07月23日 08:57,荣耀30 Pro 5G,https://weibo.com/2701840421?refer_flag=1001030103_,真
118,7400581845,希易柔,#30天安利易烊千玺# 这次河南暴雨，我就知道事的他不会退缩，也是在之后通过别人知道他捐了两次，而且还捐了物资，他真的好棒好棒！我没有喜欢错人，可以永远相信他！@TFBOYS-易烊千玺 #跟着易烊千玺益起来#,07月24日 22:59,一心一意易烊千玺超话,https://weibo.com/7400581845?refer_flag=1001030103_,假
119,1358334044,有知里花,河南暴雨，一座座城镇都沉浸在水中，大家纷纷手拉手团结一心抗洪。随后安徽泄洪上了热搜……然后台风烟花刷爆微博。其实每个省份都有每个省份的难处，不能说谁帮谁挡了水灾，也不是我们浙江富有富足…当你们困难的时候想想我们面临抗台防汛的时候，我们面临损失的时候……祖国的每一片土地每一方民族有困难的时候，浙江也从来没有视而不见，微博搜一下也到处都是，不用刻意查找。祖国的每一处大好河山，我们生存的每一秒都要面对大自然的一切风云变化，我希望我们的祖国能变的更加强大！确实，从疫情到这次河南暴雨，我看到了我们中国人的强大，中国人的团结一心，看到了我们拥有坚强后盾-中国的自豪！ ,07月24日 22:59,iPhone 11 Pro Max,https://weibo.com/1358334044?refer_flag=1001030103_,假
125,1812482747,Xxxxgreen,大美昨天从河南回云南，两人小聚了一下今早两人一起回的老家，清晨的大暴雨真的以为天漏了，正好今天我弟25岁生日，和老妈买菜做饭招待客人，然而老妈肚子疼了一天，吃了药晚上也不见好转，只能到医院就诊，医生初步诊断为阑尾炎，然后深夜住进了医院先做检查，希望一切安好！,07月24日 22:59,Android,https://weibo.com/1812482747?refer_flag=1001030103_,真
126,2556073954,海蒂的花园,#晚安#海蒂的花园 白天突降暴雨，雨滴打在屋顶上像是要击穿整个房子，雨声大到足以掩盖掉其他任何声音，说实话还是有些害怕的，在大自然面前人类果真都很弱小。最近你有遇到什么特别害怕的事吗？ L海蒂的花园的微博视频,07月24日 22:59,海蒂的花园超话,https://weibo.com/2556073954?refer_flag=1001030103_,假
128,5630410580,张连晓888,我终于明白了，老天都在帮中国消毒啊！郑州暴雨，毒淹死了，台风把毒吹走了，只是我的猜测，哈哈哈……#有道理#,07月24日 22:59,乐1s,https://weibo.com/5630410580?refer_flag=1001030103_,假
132,3851596460,抬頭尚有天空_敲不碎,//@Pupypuffy://@此猫咬人2号机://@今天一定早睡喔:#河南暴雨互助# 帮帮忙吧 都等了好几天了//@十肆桥:转发,07月24日 19:46,iPhone客户端,https://weibo.com/3851596460?refer_flag=1001030103_,假
137,6268642167,在我心上悄悄话,#杭州萧山暴雨来袭# 这个话题也上去吧//@在我心上悄悄话:#杭州萧山区突发山体滑坡# 这个话题也上去吧！//@在我心上悄悄话:#直击宁波防台一线# 加油！#杭州富阳常绿镇被淹# #萧山进化多村突发大水# #绍兴抗台# 挺住！#杭州机场取消90%以上航班#,07月24日 21:42,iPhone客户端,https://weibo.com/6268642167?refer_flag=1001030103_,假
138,7632930598,兔兔过来吃披萨,"#河南救灾一线再现硬核大喇叭#🆘#新乡卫辉暴雨# 🆘#卫辉暴雨# 尤其缺乏米面油菜这类物资‼️‼️‼️‼️
卫辉严重缺乏物资，现在城市内涝严重，物资无法分发，并非物资充盈。蓄洪区灾民流离失所，将来很长一段时间都需要物资救援支持。有的河段河堤抢险的战士一天只有一瓶矿泉水一包泡面。感谢各地的支援，物资对接可以联系政府安置点卫辉市第五完全小学 来军校长15736960165 ",07月24日 22:16,nova7你在焦点在,https://weibo.com/7632930598?refer_flag=1001030103_,假
139,7382314780,小小怡怡怡呀,每天看一眼微博都能被气死，怎么可以那么不负责任，还有一堆人为郑州地铁洗白，消防和警官一直在救援，唯有地铁找不到负责人，是人能干出来的事么，都已经五天了！出事的那天明明有人说里面还有被冲走的人，地铁方面却说已经没人了，一拖再拖，到底在干什么！@郑州地铁 #郑州地铁失联人员家属申请地下搜救##河南暴雨互助##继续寻找沙涛# @假装是个么得人发现的小号 @蔡蔡蔡婷婷ing 请大家转发微博提升热度 ,07月24日 22:59,nova7你在焦点在,https://weibo.com/7382314780?refer_flag=1001030103_,真
143,2978009270,start20120316,"转眼又两个月过去了，忙得不可开交…
台风说是要来了，看看明天会不会暴雨，后天会不会也是大暴雨，菜预备了两天的量，看来，凡事都还是得有点余量啊…
刚刚睡觉前准备洗澡，听到躺在床上的小小强在对他爸说，妈妈每天都陪我玩，还给我买玩具，妈妈对我好，爸爸每天就让我写作业，我不想要这样的日子…好吧，这大概是小朋友的心声，其实我很想说，谁都想要天天过这样的日子啊…
本来想进去跟小小强说两句，后来想，算了，这是他们父子俩之间的事，他们应该有他们的对话，我就不去说了，如果他有一天这么跟我说，那我想，我会跟他说如下几点：
1、你想要的这种每天有人准备好吃的，陪着开心的玩，想要啥玩具就给买啥玩具，这样的日子，每个人都想要啊…（肯定想法）
2、这样的日子，得来也是有付出的，那是我和你爸拼搏奋斗了40年，然后你才看到了今天这样的结果…
3、现在你还小，父母有责任也有能力养你，但是，父母会变老，会越来越没有能力，终将有一天，会离开这个世界，那个时候，你还想要这样的生活，只能靠你自己了。
4、一个人能在社会上生存的能力，不是一蹴而就的，而是从小到大，经年累月的积累的结果，所以，这也是爸爸每天督促你认真学习，培养好习惯的原因，是为了你长远而考虑。
5、一个人的能力越强，性格越好，视野和格局越高，社会适应性就越好，选择面就越广，就越能从容的选择自己想要的生活。
6、因此，妈妈对你的好是一种好，爸爸对你的好是另一种好，爸爸和妈妈其实是只是分工不同，所给予你的，也都是人生的一部分内容，有拼搏奋斗的时候，也要有休息放松的时候，张弛有度，才能长久。
7、父母之爱子，则为之计深远，终有一天，你会明白。在这一天来临之前，也请你相信，爸爸妈妈一样爱你，而且永远爱你。
8、不知道爸爸听到你这样说会是什么心情，如果我听到你这样说，可能一瞬间会有点失落，沮丧，然后想想是童言无忌，然后，讲这些心里话给你听… ",07月24日 22:59,HUAWEI Mate 30 5G,https://weibo.com/2978009270?refer_flag=1001030103_,假
146,7652345317,preference王俊凯,"河南暴雨互助失联
已核实 7/23 5：03
夫妻二人（家里有小宝宝），20号晚失联，至今未归，望郑州的朋友帮帮忙扩散[Fight][Fight][Fight]万分感谢[Rose][Rose][Rose]
哥哥:29，1.75米，灰色横条纹夹克衫+蓝色牛仔裤+蓝色头盔。
嫂子:27，1.65米，黑色夹克衫+蓝色牛仔裤+粉色头盔如有见者或提供线索者，定重谢15938978905

寻人[Fight][Fight][Fight]2人（哥哥，嫂子）7.20号下午6.34分步行路过未来路与石化路桥洞附近，晚8点微信回个信息，后在往魏庄西街紫辰路正商华钻回家的路上失联，至今未归! ",07月23日 17:38,河南暴雨互助超话,https://weibo.com/7652345317?refer_flag=1001030103_,真
147,3479905212,姜二饼_,#宁波升级台风预警信号至橙色##台风烟花将给宁波带来暴雨到特大暴雨#第一次近距离接触台风，昨晚去超市囤了一些吃，现在看来可能有点少今晚看到地下车库的车都停到地面上，教科书式的防汛停车。浙江加油💪愿平安 2宁波·杭州湾新区,07月24日 22:59,iPhone客户端,https://weibo.com/3479905212?refer_flag=1001030103_,假
148,7569718023,uuuuuuO_o,#河南暴雨互助#在郑州，可以去周边市镇村做志愿者，有没有可以联系的群！！！,07月24日 22:59,Android,https://weibo.com/7569718023?refer_flag=1001030103_,假
149,6605420690,人民中的英雄,"#暴雨##河南我们一起扛#

谢谢有你，以爱为报！#长葛大姐烙800张饼送前线，做梦都想让消防员吃！ L人民中的英雄的微博视频",07月24日 22:59,微博视频号,https://weibo.com/6605420690?refer_flag=1001030103_,假
153,5165814474,城关区检察院,【#郑州地铁救人医生回应免试直接录用#以后不好好当医生 都对不起全国人民】7月20日，郑州地铁五号线因暴雨多人被困。危急关头，郑州人民医院试工医生于逸飞从地面折回负二层救人6小时，院方知道情况后直接录用于逸飞。于逸飞称，父亲是一名军医，知道自己在地铁里后，大雨中到处搜寻，见面后含泪比赞。对于免试直接录用，于逸飞称，现在全国人民都知道自己救人的事情了，以后不好好当医生，都对不起全国人民，也请全国人民监督。L沸点正能量的微博视频 ,07月24日 22:58,微博视频号,https://weibo.com/5165814474?refer_flag=1001030103_,真
155,5035809982,多情浪妈,//@范冰冰:#辉县暴雨##新乡暴雨求助# 秀才庄一万人村民请求救援！！！全村上下抵抗了三天还是没挡住洪水的到来！洪水已经进村了！！！现已经联系不上了！！！ 急扩,07月22日 10:43,nova5Pro人像超级夜景,https://weibo.com/5035809982?refer_flag=1001030103_,假
156,1657938285,司爱武,“脑子进水”比“千年一遇”的暴雨更可悲！,07月24日 22:58,HUAWEI P30 Pro,https://weibo.com/1657938285?refer_flag=1001030103_,假
157,7554377651,·破晓尼古拉斯壶·,"#杭州萧山暴雨来袭#
注意安全啊 要平平安安的",07月24日 22:58,vivo X23全息幻彩,https://weibo.com/7554377651?refer_flag=1001030103_,假
158,5971405352,想改昵称却不知道改成什么,开始下暴雨了，不知道明早起来会咋样,07月24日 22:58,荣耀30 Pro+ 5G,https://weibo.com/5971405352?refer_flag=1001030103_,假
159,5851957786,多搭画不完,"家
家是黑夜里风起云涌的码头港湾
家是一个男人对一个女人的承诺
家是扛起狂风暴雨，电闪雷鸣的小巢
家是我们无助时的温馨小窝
家是永远也不会让人失望的夜晚鼾声
在努力制造温馨，也没有回家来的更加贴切！
河南加油，中国加油。",07月24日 22:58,HUAWEI P20,https://weibo.com/5851957786?refer_flag=1001030103_,假
161,5305683364,田田的小玐,#河南暴雨互助# //@爱的清清白白:#河南暴雨救援# //@鹤南鹰眼://@大大娇娇屁:⚠️//@Aurora·For·You:#河南暴雨互助# ‼️ 需要挖掘机，沙袋，沙子和人员救助‼️,07月24日 22:24,vivo Z3性能实力派,https://weibo.com/5305683364?refer_flag=1001030103_,假
166,2463294643,Honey_cly,"#河南暴雨#

谢谢心系“胡辣汤”，永远都不会忘记你们的这份恩情。
期待重启的“胡辣汤”，加油河南！！！！⛽️ 2郑州 2郑州",07月24日 22:58,iPhone 12,https://weibo.com/2463294643?refer_flag=1001030103_,真
167,5948971887,圆溜,#绍兴暴雨# 柯桥轻纺城这么多商户还有布料辅料工厂一定要挺住啊🙏,07月24日 22:58,,https://weibo.com/5948971887?refer_flag=1001030103_,假
168,1814619692,小馄饨Everyday,风声好吓人，每次刮风打雷暴雨就害怕，是动物本能对吧，把门窗都检查一遍，塞耳塞🙉🙉🙉,07月24日 22:58,荣耀V10 我AI的快,https://weibo.com/1814619692?refer_flag=1001030103_,假
172,7359432357,重洛之城,//@观霜_://@九钱算六卦://@大地屹立在玉米上://@xxx-link ://@合金妖王刘成文 ://@极乐鸟-曼巴精神 ://@bilinbobo : #河南暴雨互助# //@·希和景怡· :#河南暴雨互助# //@九零五号公路_ :#河南暴雨互助# #河南暴雨救援# //@浓汤大虾 :#河南暴雨互助# 卧槽这真的很恐怖，之前我家门口大水就电死了几个,07月20日 22:43,王一博肖战Android,https://weibo.com/7359432357?refer_flag=1001030103_,假
173,2155134413,因为我是水瓶座zn,#新乡暴雨#,07月24日 22:56,iPhone客户端,https://weibo.com/2155134413?refer_flag=1001030103_,假
174,3025058494,最酷的王老师和最年轻的肖老师,#河南暴雨互助# //@十米九万里:#河南暴雨互助# //@萝卜烧鹅:【龙子湖陈三桥社区】【老人小孩失联】#河南暴雨互助# #河南暴雨救援#,07月21日 20:34,OPPO Find X3,https://weibo.com/3025058494?refer_flag=1001030103_,假
175,7017675684,demorcracy,"河南卫辉‼️‼️【失联】
从北环寺庄顶往东方向的村庄村民，所有正在救援的团队！麻烦观看四周有没有发现一位50多岁男性，在2021.7.24日上午9:10左右，救援艇经过新寺路共产主义渠桥段时，皮艇破裂掉入水中被冲走，至此仍无消息！家人迫切希望得到有关信息！联系我们：徐红兵139 3736 6546 / 徐明利 135 2503 7371
7.24号晚9：28【已电话核实】 ",07月24日 21:33,iPhone,https://weibo.com/7017675684?refer_flag=1001030103_,真
176,7322267313,江添盛望小奶盖,【绍兴多地暴雨，#特警跳入水中手拉手组成人墙救人#】7月24日，受台风“烟花”影响，绍兴多地普降暴雨。为应对强降雨带来的险情，绍兴公安民警奋战在抗台一线，帮助转移群众，抢救财产。诸暨应店街镇灵山坞村积水，巡特警大队救援人员跳入急流中，手拉手组成人墙，成功将两名被困于三楼的群众安全救出。#浙江严阵以待防御烟花##浙战烟花# L浙江日报的微博视频 ,07月24日 22:58,nova7SE 5G你在焦点在,https://weibo.com/7322267313?refer_flag=1001030103_,真
177,7250034528,三小只太闹腾,狂风暴雨也在你身旁，我们在一起就是晴天。,07月24日 19:42,时代少年团超话,https://weibo.com/7250034528?refer_flag=1001030103_,假
181,6395009165,老肖·老王,//@宝塔山24小时祈福便利店:#河南暴雨互助# #河南暴雨救援# 救救邹德强和沙涛！！好多天了！,07月24日 19:46,vivo X23全息幻彩,https://weibo.com/6395009165?refer_flag=1001030103_,假
184,6662680904,1990-4-25,//@郑乃馨NENE全球后援会:郑乃馨 大家注意安全！要平平安安//@硬糖少女303-郑乃馨:【紧急扩散】#河南暴雨互助# 扩散！大家可以在这里填写求助信息！大家保护好自己，一定一定要平平安安！！,07月20日 21:19,微博 weibo.com,https://weibo.com/6662680904?refer_flag=1001030103_,假
185,6591447622,易融气象,受低空切变影响，我区出现短时强降水，部分乡镇出现45毫米以上降水，预计未来降水仍将持续，宁江区城区、毛都乡、伯都乡可能达到暴雨量级。宁江区应急管理局、宁江区交通安全委员会办公室、宁江区气象台联合提醒注意做好防汛抗洪工作。 O网页链接,07月24日 22:58,易融气象,https://weibo.com/6591447622?refer_flag=1001030103_,假
187,6648471210,千里星亼,扩扩扩 寻人❗️❗️❗️#河南挺住# #河南暴雨互助# #分享河南暴雨中可爱的平凡人# @2000年7月17日 @豹豹还在追星 @光合作用仙女,07月24日 22:30,iPad Pro,https://weibo.com/6648471210?refer_flag=1001030103_,假
189,6271138061,涂改液oo,河南暴雨互助急需被子物资！,07月24日 18:34,HUAWEI nova 3,https://weibo.com/6271138061?refer_flag=1001030103_,假
191,2139893427,绍兴越城公安,【彻夜未归！搜寻4小时，找到了！】一个女孩回家路上突然遇到暴雨，因害怕台风就在一废弃房里躲了起来，彻夜未归，这可急坏了家人。,07月24日 16:21,新版微博 weibo.com,https://weibo.com/2139893427?refer_flag=1001030103_,假
192,7083775467,张月亮喜欢大白馕,"坐标浙江宁波，即将面临台风30小时，有专家预测可能会和河南差不多，还未登陆这里已经狂风暴雨一下午加一晚上了
不要忘了我很爱很爱很爱很爱很爱很爱很爱熙华
我一直在等他们",07月24日 22:58,尚九熙何九华超话,https://weibo.com/7083775467?refer_flag=1001030103_,假
195,6036808983,是的201610,"#杭州萧山暴雨来袭#
余杭现在情况还好",07月24日 22:58,续航传奇 Redmi 8A,https://weibo.com/6036808983?refer_flag=1001030103_,假
196,7652345317,preference王俊凯,急需物资‼️编织袋❗救生衣❗橡皮艇❗手灯❗#河南暴雨互助#,07月24日 22:55,河南暴雨互助超话,https://weibo.com/7652345317?refer_flag=1001030103_,假
197,2652542390,贺兰就业,暴雨中，这些画面看哭了…… O暴雨中，这些画面看哭了……,07月24日 22:58,vivo浏览器,https://weibo.com/2652542390?refer_flag=1001030103_,假
199,6108302615,LilPrimo,//@ClaireECottrill ://@加州小三娜娜子 :一定一定小心霉菌，被污水泡过的木头家具、地板、墙面等很容易滋生黑霉菌，空气中的孢子可能造成呼吸道问题和别的严重过敏反应//@光明处是你我归处 :星星翻译整理的返回淹没/被水浸房屋注意事项第二部分，麻烦大家帮忙扩扩呀#河南暴雨互助#,07月24日 22:45,微博国际版,https://weibo.com/6108302615?refer_flag=1001030103_,假
201,2802536735,屋顶漫游记·,隔离没隔离完又要迎接大暴雨了 我怕我家门都没怎么出过就回校了。。好烦呐好烦呐 每天唯一消遣是网上购物 拼多多我的快乐老家,07月24日 22:58,💫闪耀星iPhone 11,https://weibo.com/2802536735?refer_flag=1001030103_,假
202,7415816954,ANd_Sunkino,不要下暴雨 我有几百个快递还没发🙏,07月24日 22:58,vivo智能手机,https://weibo.com/7415816954?refer_flag=1001030103_,假
205,2313867297,科技氢,#分享河南暴雨中可爱的平凡人#新乡市辉县占城镇利用直升机空投物资！ L科技氢的微博视频,07月24日 22:58,微博视频号,https://weibo.com/2313867297?refer_flag=1001030103_,假
206,7441780382,Mocking46988,#河南加油河南挺住##抗洪英雄大赏##华为1100余名工程师驰援河南##分享河南暴雨中可爱的平凡人# 为河南加油，为华为点赞，为1000多位工程师们加油，你们辛苦了，注意安全。 LMocking46988的微博视频,07月24日 22:58,微博视频号,https://weibo.com/7441780382?refer_flag=1001030103_,假
211,6626604600,-松奈丞川-,#河南暴雨互助# //@河南暴雨互助:处理后台私信，请附近志愿者接力核实！,07月24日 22:30,iPhone XS Max,https://weibo.com/6626604600?refer_flag=1001030103_,假
214,6615119564,滑雪比枪落叶飘,//@卍不二:#河南暴雨互助# 找人！,07月24日 20:21,cool guyAndroid,https://weibo.com/6615119564?refer_flag=1001030103_,假
215,6256908930,七巷的窗子,"#运动打卡# Day68 北有暴雨 南有台风
running 5km
walking 5km stretching
独在异乡为异客
找到事做亦不错",07月24日 22:58,OPPO A5,https://weibo.com/6256908930?refer_flag=1001030103_,假
216,2761329620,河南包拯,【#河南暴雨主凶是台风烟花# 】河南为啥三天下了一整年雨？“主凶”就是台风烟花！这个远在千里的台风是如何远程控制这场暴雨的？超强台风的破坏力有多高？为什么这次影响最大的是内陆城市？#台风作恶将被除名# 现下，#凶手烟花正从幕后走向台前#，预计于25日下午到26日凌晨登陆浙江，或成史上7月登陆浙江最强台风！江浙沪请做好防御！（小央视频） L小央视频的微博视频 ,07月24日 22:58,微博视频号,https://weibo.com/2761329620?refer_flag=1001030103_,假
217,5522487529,舒克叔叔i,#分享河南暴雨中可爱的平凡人# 尽微薄之力，河南加油，巩义加油,07月24日 22:58,iPhone客户端,https://weibo.com/5522487529?refer_flag=1001030103_,真
218,5899403290,安梓煜-,"实习第二十天
上海要下大暴雨了
今天一天都待在办公室里
没有感觉到有多可怕
下班才领略到
打着伞
被风推着走的
明天休班
已经备好口粮
躲避暴风雨🌧️ 2上海",07月24日 22:58,iPhone客户端,https://weibo.com/5899403290?refer_flag=1001030103_,假
221,7313195405,Jeanjean-chen,【转扩！#新乡接受捐赠救援电话#】据河南省新乡市防汛抗旱指挥部，从7月17日8时到23日7时，新乡市平均降雨量830毫米，截至23日15时，受灾人口128.8万余人。23日，新乡市防汛抗旱指挥部发布第4号公告，正积极组织各类物资供应，接受各界捐赠救援，相关电话↓↓#新乡暴雨已致128万余人受灾#O新乡市防汛抗旱指挥部第 4 号公告 ,07月24日 08:38,微博 weibo.com,https://weibo.com/7313195405?refer_flag=1001030103_,真
222,6442776095,dghhfvnh南,"郑州
【帮扩】
#河南暴雨救援#🐾#河南暴雨互助#
河南省郑州市中牟县河南师范大学新联学院（中原科技学院），数千名学生以及工作人员被控，水深一米八左右，停水停电，学校内目前只有一家超市，物资紧缺。目前被困已经超过30小时，辛苦请关注一下，尽快帮助他们脱困，感谢！！！

联系电话：魏老师18703633368

河南师范大学新联学院‼️‼️‼️有学生被困在学校里暂时没有救援❗️
停水停电且水位在持续上涨‼️恳请政府和救援人员尽快帮助他们‼️‼️‼️‼️ ",07月21日 19:45,郑州超话,https://weibo.com/6442776095?refer_flag=1001030103_,真
225,2760909071,奈斯莱蒙,#河南暴雨互助# 地铁5号线负责人❗️❗️❗️,07月24日 19:46,iPhone客户端,https://weibo.com/2760909071?refer_flag=1001030103_,假
226,7571346388,云上河南,感谢有你，滑县加油！#河南暴雨互助# @滑县融媒体中心 L云上河南的微博视频,07月24日 22:58,微博视频号,https://weibo.com/7571346388?refer_flag=1001030103_,假
228,2942960113,夏的倒影,#河南暴雨互助#撤离！！！新乡北环、107双向决堤，大水直冲新浦路、定国湖、定国村、新中大道方向，这时候不要往东来了各位！！！在这条上路的车。快点撤离。水位马上就上来了！求转发[合十][合十][合十] 2南阳 L夏的倒影的微博视频,07月24日 22:58,微博视频号,https://weibo.com/2942960113?refer_flag=1001030103_,假
229,7374775880,宋富贵超努力,"#台风##台风烟花将对浙江有严重影响# 是浙江金华人。台风在来但金华目前没有受到什么大影响就是下雨然后停又重复，但我们浙江有很多地方已经受到了影响
浙江是沿海地区，年年基本上都有台风。
说句实话，浙江人的确是习惯了，有了一定的防御能力，某些方面一定会比较成熟，
下暴雨啥的，水也涨了

但也不要说什么不用管浙江。好多热搜啥的都降下去了，说是浙江人会自救（？），我们的力量还没有足以能和大自然对抗！
“烟花”是这次台风的名字，是大的台风了，好像比往年都强一点，后面还紧跟着，多地的山洪山体滑坡，这不是所谓台风预兆而已这是台风带来的灾难呐。

浙江人也是中国母亲的孩子！也是需要支援的。

希望遭遇山体滑坡的萧山地区安好
中国加油🇨🇳 ！河南加油！浙江加油！

看到👇🏻 这个有感而发，其实内容差不多，都表达一个意思 ",07月24日 22:58,vivo Z5x性能实力派,https://weibo.com/7374775880?refer_flag=1001030103_,假
232,1132313514,酸酸甜甜小冰棍,历经四天四夜的断水断电断网终于结束了，生活饮食起居有太多太多的不便，这几天的每分每秒都异常难熬，四天四夜却赶脚过了一个月，很庆幸有最亲的人：父母、老婆、宝宝的陪伴，让我每天在痛苦挣扎甚至崩溃中找到希望和力量。一场暴雨给家庭造成惨重的损失和不便，但是有你们，让我永远期待明天的美好…… 2郑州 ,07月24日 22:58,Android,https://weibo.com/1132313514?refer_flag=1001030103_,假
233,3454741042,皮蛋和她的铲屎官,"#新乡暴雨# 今天穿着父亲98年抗洪时的救生衣到达新乡牧野区灾区一线，下午一共救出8位老人，帮助转移撤离灾区，不会游泳不会水真的是硬伤，不然还可以救出更多的群众！新乡的水太严重了我已经无法用言语形容
感谢这群素不相识的人一起为新乡努力，救援！感谢源源不断的救援队伍驰援郑州和新乡！
#退伍军人# ",07月24日 22:58,华为nova 8 Pro,https://weibo.com/3454741042?refer_flag=1001030103_,真
234,6092318448,嘴角上扬的swl,7.24//@宋威龙99:一定要平平安安🙏#河南暴雨救援#,07月20日 19:24,微博 weibo.com,https://weibo.com/6092318448?refer_flag=1001030103_,假
235,1729631344,seisei2003,//@荒野黎明·:#河南暴雨救援# ！还没找到#河南暴雨互助#,07月21日 18:02,Redmi K30 Pro 变焦版,https://weibo.com/1729631344?refer_flag=1001030103_,假
237,2694066812,最爱冰美式可爱多也超喜欢,🙏🙏🙏//@Santa_赞多官方后援会:Santa赞多🙏#河南暴雨互助# ‼️ 填好相关信息！保护好自己！希望早日回家！愿所有人平安！ @INTO1-赞多,07月21日 01:29,vivo S9 极夜柔光自拍,https://weibo.com/2694066812?refer_flag=1001030103_,假
239,6411834903,ilAntonia,#河南暴雨救援# //@千寻和菠萝油:不要再踢皮球了，救人❗️,07月24日 19:32,iPhone客户端,https://weibo.com/6411834903?refer_flag=1001030103_,假
