context,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
【求助方式、住宿、救护、物资汇总】（将不断更新，请勿帮买头条）：

1.点击进入该话题，关注并发帖进行详细确真的求助（务必在话题内发帖不要自己发微博然后带话题）。O网页链接

2.超话社区现已开通通道。
在郑州洛阳开封焦作濮阳平顶山济源巩义等受灾地区超话内，可按照图片指引，带话题词，发布求助信息。
【现居地址】：
【联系方式】：
【灾情描述】：
详细微博来源：O网页链接

3.河南救援电话汇总。O网页链接
巩义救援电话汇总O网页链接

4.使用微信等工具扫描微博中二维码填写求助信息，相关人员将汇总信息并联系救援。O网页链接

5.【车队】
⑴民间组织的车队，有需者可电话联系。O网页链接
⑵最新最全的越野车队汇总。O网页链接

6.【求援】
⑴求援信息1。O网页链接
⑵求援信息2。O网页链接

7.【住宿合集】
⑴住宿合集1O网页链接
⑵住宿合集2O网页链接
⑶住宿合集3O网页链接
⑷住宿合集4O网页链接
⑸住宿合集5O网页链接
⑹住宿合集6（来自豆瓣）O郑州的好人提供住处！！大家互相转发O郑州的好人提供住处！！大家互相转发

8.【急救、自救、自护】
⑴急救、自救、自护合集持续更新！O网页链接
⑵NPC生命支援开的求医咨询群：如您或家属被困，且急需执业医生提供医学支持，请微信扫描下方二维码入群，描述患者症状，群内有执业医生提供公益咨询。O网页链接
⑶自制救生衣方法集锦。O网页链接
⑷孕妇救援！O网页链接

9.【物资救援集合】持续更新！O网页链接

10.【设施情况汇总】
⑴故障设施O网页链接
⑵漏电地区O网页链接

11.【救援电话汇总】可以直接复制。O网页链接

ps：提供和需要避难和住宿处的朋友请联系我，我帮你们汇总和对接。
急救、自救、自护方法也可以联系我！会汇总起来！
物资救援信息也可以联系我！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🆘求助❗️❗️点进去帮扩一下‼️太多人需要帮助了！一定要坚持住啊！！
高速被困马上手机没电O网页链接
十人被困O网页链接
一大群人被困O网页链接
老人被困O网页链接
医院请求支援O网页链接
聋哑小女孩被困O网页链接
几人被困无地方去O网页链接
十几个人水到脖子了O网页链接
老人妇女小孩被困O网页链接
整条街被淹没O网页链接
地铁站被困百人O网页链接
许多六七十岁老人被困O网页链接
地铁口几十人被困O网页链接
全村即将被冲走O网页链接
四人被困五小时O网页链接
立交桥多车多人被困O网页链接
八个月孕妇O网页链接",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"郑州
[我是帮转！！！！]🆘🆘
真的求求了，看看米河吧，一下午了现在根本联系不上人，新建的🏠都直接塌了，超市都在负一和一层，直接被淹，也没有吃的而且也有很多老房子，地势还低，三层以下都可能直接被淹，很不安全，里面的进不去，外面的进不来，vx回不了，电话打不通，📨回不了，真的很担心。请求支援！！！！不敢再拖了#网友求关注巩义暴雨##米河失联#@新浪河南@新闻晨报@人民日报",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【私信投稿】聋哑人朋友的求助方式：

在河南且使用【手语的聋人朋友】
可以下载“手之声”“瀛诺”“滴语7655”这三个软件，有线上手语翻译提供电话转接服务，遇到困难可以通过这个方式联系救援电话。

使用【口语的听障朋友】可以下载“音书”这个软件，两个手机的话可以使用“讯飞听见”这个软件，还有目前市面上的小米手机，华为手机都有AI通话，可以提供语音转文字形式的通话服务。办过畅听王卡的朋友，记着它可以用文字转语音双向通话！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"帮发【避难所】滞留在郑州湖西路与建设路附近的路人，请到西湖秋韵家中暂避风雨，今晚，请把这儿当成您自己温暖的家。联系电话：13598891230
困在郑州市农科路政七街附近的朋友无法回家可以来周泽堂茗茶汝瓷艺术馆暂歇，灯火通明，为大家提供手机充电，热茶水，到了请联系18610446699邱荣胜。
欢迎您和家人光临
中华太极禅茶文化传播中心！
地址：农科路政七街交叉口南100米路东。
今晚如有在郑州东区高铁站附近的朋友无法回家可以来绿地天空之城二楼素语蔬院暂歇，到了请联系13673778059
素语蔬院河南禅意素食地标品牌！
地址绿地双子塔南塔天空之城商场二楼
在郑州图书馆附近的被困人员，不要冒险回家，馆里提供热水及休息场所，请大家可以转发起来！
风雨无情人有情
只要需要，我们就在。
我们馆今天彻夜不闭馆了，请大家转发给有需要的人！
目前在嵩山路中原路附近的朋友，郑州科技馆停车场开放，提供避雨场所，提供热水、方便面，大家在附近都可以前往。",,,,,,,,,,,,,,,,,,,,,,,,,,,,"郑州
帮扩🙏
紧急求助‼️‼️‼️‼️‼️‼️
目前凌晨一点，我有个朋友还困在郑州航海路秦岭路口（帝湖百货），已经困了8小时了，除她以外受困还有一位老人，公交车抛锚在深水里，外面水又深又冷又湍急，现在雨很大，她和老人在车里，巨冷，除非有船或者越野车开到公交车旁接她们，有什么办法可以解救她们吗❓❓❓联系电话15999741949"
"#河南暴雨救援#
转‼️‼️
截止凌晨1点，网上求助信息汇总：
（帮忙转发扩散！！！！）荥阳市崔庙镇王宗店村房子塌了，一对母女被困塌房里，孩子才4个月！刚刚联系了依然没有被救出，寻求支持皮划艇救援！！！
帮转【幼儿园的小朋友们】郑州陇海路京广路往东200米路南燕蓉希望幼儿园一楼教室已经积水小朋友们被困在幼儿园内路段积水严重报警电话都在忙求助！！
【转网友求救】绿博大道良秀路交叉口工地，门口工地塌了，出不来都在喊救命！！！19137185752
【转网友求救】郑大三附院康复后街5号楼，宝宝还不到两个星期，宝宝妈妈还没出月子，车子在门口完全淹没了，六个人就近躲在路边小餐馆，宝宝太小了治疗黄疸在医院刚晒了一星期蓝光，七个小时了，救命宝宝妈妈18438592296宝宝爸爸13349942294
【转】巩义市米河镇信号塔被冲毁，通讯中断，停电，310国道被淹没，汜水河浸出河岸，整个镇处于失联状态
【转】郑州文庙站地铁站口现在还有一百多人被困
【转】十几个孩子李琦老师的爱人和孩子车上拉了十几个孩子，堵在中州大道三全路下口动不了，所有救援电话打不通，谁那里能联系到救援艇，或者在下桥口接一下也行，距离郑东新区中州大道小学很近，联系电话13803845618、15617444931
【转】河南姐妹求助：13733809399刘，经三路农科路世纪华联，一男一女带2岁小女孩，被困10个小时，孩子和大人饥寒交迫，停车场水位已经超过成年男性身高。还有多人同时被困。
帮转【求助人姓名】李坤鹏【联系电话】15539497895【需求内容】车已熄火，近20人被困在车内等待救援，已经在车内等待5个小时了！【被救助人位置】郑州市中牟县良秀路杨桥大道永盛家园东门路边交通驾校车上【当前情况】车上现在有近20人被困，车子熄火【求助时间】2021.7.21日00:03
【转】几百号人被困在京广路与陇海路高架上，高架下边水漫过胸口，一天没吃东西了，全身都是湿的，高架上冻死了。🆘高架下边还有站在车顶的人等待救援。
【寻人启事】爷爷在河南巩义市北山口被洪水冲走目前无联系，若有人看见一老人请联系13017650216或13703828108",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"帮发【避难所】滞留在郑州湖西路与建设路附近的路人，请到西湖秋韵家中暂避风雨，今晚，请把这儿当成您自己温暖的家。联系电话：13598891230
困在郑州市农科路政七街附近的朋友无法回家可以来周泽堂茗茶汝瓷艺术馆暂歇，灯火通明，为大家提供手机充电，热茶水，到了请联系18610446699邱荣胜。
欢迎您和家人光临
中华太极禅茶文化传播中心！
地址：农科路政七街交叉口南100米路东。
今晚如有在郑州东区高铁站附近的朋友无法回家可以来绿地天空之城二楼素语蔬院暂歇，到了请联系13673778059
素语蔬院河南禅意素食地标品牌！
地址绿地双子塔南塔天空之城商场二楼
在郑州图书馆附近的被困人员，不要冒险回家，馆里提供热水及休息场所，请大家可以转发起来！
风雨无情人有情
只要需要，我们就在。
我们馆今天彻夜不闭馆了，请大家转发给有需要的人！
目前在嵩山路中原路附近的朋友，郑州科技馆停车场开放，提供避雨场所，提供热水、方便面，大家在附近都可以前往。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨#一些自救事项⚠️
1.看到无人机记得打开手电筒挥舞!会确定方向!
2.来了例假的女生要注意!不到万不得已不要淌水!完了之后记得去医院检查!
3.水里会裹挟垃圾、动物尸体、地上的细菌等等，如果有在外大面积接触过雨水、泥水的河南朋友回到家后一定要清洁身体，把家里的备用药品找出来以防万一。
4.衣服裤子可以改装成救生圈，长袖衣服把袖口、裤口扎住，打湿后吹气就可以。短袖体洫把上下两端扎住，打湿吹气也能当救生圈----注意要留下吹气的口，衣服会缓慢漏气，只要时不时吹气补充就可以(是冲锋衣材质的才能有效果，其他透气性较强的衣物请慎重雪纺衫，衬衣面料效果较好，棉质体恤较差
5.如果被困不要想着试一试冲出去可以去到安全的地方越高的地方越安全!就在原地尽量往高处等着救援
6.不能喝自来水水的质量可能不达标！有条件就喝瓶装水！！或者烧开的水！！
7.给所有充电宝、手机充满电。（一旦停电，就停止刷手机，家庭成员手机每次开一个，保持畅通、关注天气预报、险情预警等信息）
8.接足饮用水，并将家里的食物和饮用水放在高处。
9.住在低处或一楼的姐妹，睡前身边放置几个大一些的盆或木板。(尽量不要用盆容易打翻！木板！木板！实在不行拆木质门板！
10.非必要尽量不要出门，如果蹚水，一定注意防触电防塌陷防围墙倒塌
11.如遇险情，可发到微博，人多办法多希望就多。
12.记得，不要穿拖鞋凉鞋，不跟脚的鞋子，进水雨靴千万别穿一旦灌水，根本走不了，穿运动鞋！！！！！！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
目前郑州可避难场所：
1⃣郑州科技馆停车场
2⃣郑州图书馆（今晚不闭馆）
3⃣金水区东济堂中医馆
4⃣科学大道丁香里路
5⃣建业凯旋广场
6⃣会展中心地铁口
7⃣管城回族区
8⃣姚砦路地铁口
9⃣高新区小鹿幼儿园
🔟建业总部🆘郑州经四路有变压器炸了，请尽量避开这块!

【投稿补充】刚刚整理的文字版管城回族区校园应急避难场所
1.东大街办事处创新街小学徐建梅13838153862
2.西大街办事处三中查宝翔13938266802
3.北下街办事处回一小学路晓丽15890685549
4.城东路办事处东关小学陈丽红15838358806
5.二里岗办事处39中学徐伟钦13937152529
6.陇海路办事处五中张天佑13700884187
7.南关街办事处东三马路小学刘学华18595619360
8.紫荆山南路办事处回中齐伟13676962195
9.航海东路办事处63中赵东亮13937128176
10.金岱办事处腾飞路小学杜春东13653827711
11.金岱产业区办事处第二实验小学李改玲13693714882
12.八里河办事处紫荆中学张军才13592448026
13.南曹办事处管城三中金峰13676966526",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
帮路人扩🙏
紧急求助‼️‼️‼️‼️‼️‼️
目前凌晨一点，我有个朋友还困在郑州航海路秦岭路口（帝湖百货），已经困了8小时了，除她以外受困还有一位老人，公交车抛锚在深水里，外面水又深又冷又湍急，现在雨很大，她和老人在车里，巨冷，除非有船或者越野车开到公交车旁接他们有什么办法可以救他们吗‼️
联系电话15999741949
救援电话试过了打不通",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"帮忙扩散，荥阳市汜水镇，老君堂村，东河南，西邢村，村里水已经涨到房顶，漫进二楼，上百个人被困，还无一人营救!🙏🙏急需营救!110，119都占线忙无法接通。请消防员尽快去营救！🙏🙏🙏🌹🌹#河南暴雨救援##河南暴雨#
救命真的大家快去一些求助贴评论复制一下
有很多类似的求助
带上词条发原创会更容易被看见！
我尽力了我在河南郑州我信号差到爆炸！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"郑州#河南暴雨#
‼️防止失温方法（转载）

🟨防止失温（文字简要版）
【1】尽量找到用厚东西包裹住身体
【2】一定不可以喝热水❗️
【3】不要揉搓四肢❗️
【4】周围人出现失温现象，尽快进行心肺复苏❗️

郑州今晚的温度只有23度，暴雨再加上大家一直神经处于紧绷状态体力消耗又都湿淋淋的，也有可能出现失温，失温并不只是在严寒环境下，所以大家还是注意一下失温的情况吧，找了一下关于失温的症状和急救可以看一下希望能有预防作用。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(转发)#河南暴雨救援#🙏#河南暴雨#⚠️求助！⚠️求助！⚠️求助！我很好的朋友家，求大家帮我转发一下！[流泪]谢谢大家了！
郑州新密市白寨镇，高庙村南坡组，二十多人被山洪泥石流困在房子里，被困人里面有老人和孕妇，房子随时都有坍塌的危险，有没有人帮帮他们！能救援的联系，张：13503857976",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"河南近日极端降水，多地内涝严重，出行受阻，或有慢性病、急诊等求医人员被困，导致无法前往医院求医。如您或家属被困，且急需执业医生提供医学支持，请微信扫描下方二维码入群，描述患者症状，群内有执业医生提供公益咨询。【因群人数限制，非求医人员请勿入群，入群请备注群昵称为：求助者。如1群人满请加2群，感谢配合。】

入群按如下格式描述患者症状：
患者姓名：
患者性别：
患者年龄：
患者住址：(可不提供)
症状描述：
既往病史：

关于我们：NCP生命支援由一群医生及公益人发起，曾志愿为新冠肺炎患者及家属提供身心健康恢复支持服务。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"帮发【避难所】滞留在郑州湖西路与建设路附近的路人，请到西湖秋韵家中暂避风雨，今晚，请把这儿当成您自己温暖的家。联系电话：13598891230
困在郑州市农科路政七街附近的朋友无法回家可以来周泽堂茗茶汝瓷艺术馆暂歇，灯火通明，为大家提供手机充电，热茶水，到了请联系18610446699邱荣胜。
欢迎您和家人光临
中华太极禅茶文化传播中心！
地址：农科路政七街交叉口南100米路东。
今晚如有在郑州东区高铁站附近的朋友无法回家可以来绿地天空之城二楼素语蔬院暂歇，到了请联系13673778059
素语蔬院河南禅意素食地标品牌！
地址绿地双子塔南塔天空之城商场二楼
在郑州图书馆附近的被困人员，不要冒险回家，馆里提供热水及休息场所，请大家可以转发起来！
风雨无情人有情
只要需要，我们就在。
我们馆今天彻夜不闭馆了，请大家转发给有需要的人！
目前在嵩山路中原路附近的朋友，郑州科技馆停车场开放，提供避雨场所，提供热水、方便面，大家在附近都可以前往。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#K31乘客称在火车上滞留超24小时#求助!!!!!!k330从洛阳开往天津从昨晚六点发车至现在仍然停在巩义车上饮用水已经不足只能靠外界输送饮食今天巩义还有大雨从昨日开始两侧的山已经有不同程度山体滑坡无人问津求转发谢谢大家了

刚刚通过评论了解好像是附近有发生坍塌已经在展开救援了希望不要误导大家抱歉。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"更新说明：这次灾情我们提供的救援装备在四天前已经全部投入一线灾区使用，100条漂流艇1000件救生衣20条皮划艇已全部送达当地应急救援部门。郑州金水区消防大队，中原区消防大队，新乡凤泉区消防大队，顺丰基金提供的运输和线上提供运输的志愿者伙伴，感谢帮助河南，不要打电话了。（大灾当前，郑州飞帆和洛阳悦动水上俱乐部所有教练员以及皮划艇桨板等水上器材无偿支援相关机构使用，需要直接联系。）
郑州☎️阿杜18239965161
洛阳☎️张亚磊135253595322洛阳·涧西区",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨救援#【中原区冉屯路5号院开元社区】【老人失联】‼️‼️‼️有没有同一社区或周边清楚情况的！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金水区龙源西七街，腿受伤，急需缝合，有没有医护人员可以帮忙#河南暴雨救援#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【部分漏电地方】#河南暴雨#

1玉兰街与金梭路交叉口附近。
那的公共卫生间也不要去，高压线爆了刚已经报给供电局了，其他地方的高压电也有类似的情况，他们供电局也淹了，无法维修，只能这样了，等不下了在抢修。大家绕路走啊。

2中原西路与桃贾路。
路已断，天也黑了，看到的朋友们转发一下，也呼吁有关部门去设置个警示牌。已经有3辆车掉下去了

3郑州经四路，变压器炸了

4政七街红旗路路口，高压电漏电！！！！！！

5科学大道金梭路鱼尾狮附近天然气泄漏！请各区域人员不要走动，一定不要用明火！！不要靠近窗户！！

6花园路农科路向东方向！六点多的时候就漏电了。请各位注意！！

7金水区黄河路附近！发生漏电伤人事故，请附近居民注意！

8新乡市丰华街与华兰大道交叉口东南角配电箱漏电大家出行途中注意安全，避免窨井盖位置和电线杆、配电柜等，提前出行，规划好出现路线，尽可能绕开水深的位置。

9河南省鹤壁市泰山路与湘江路以南。不要走，漏电，有几辆车电着了！

10中原西路与桃贾路已断，请注意安全！

11青年路新向民前方报停旁边的变压器漏电，大家注意绕行！！！！！！！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨#【郑州特大暴雨】注意：随着橙黄色回波的靠近，雨势刚减弱不久的郑州市区又将出现持续几小时的暴雨天气，郑州及周边地区一定一定要注意安全，警惕强降雨带来的不利影响！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨救援#郑州地铁2号线五里堡站被困千余人有孕妇及儿童！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"博君一肖
扩扩扩❗❗❗政七街红旗路路口高压电漏电⚠️郑州经四路变压器漏电，注意绕道⚠️科学大道金梭路鱼尾狮附近有天然气泄露，各人员不要走动，不要用明火不要靠近窗户⚠️中原西路与桃贾路已断，经过一定要注意⚠️新乡市丰华街与华兰大道交叉口东南角配电箱漏电⚠️玉兰街与金梭交叉口附近公关卫生间高压线爆了#河南暴雨救援#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
:【紫荆山路顺河路中国工商银行自助提款机】【41人被困】【有老人小孩】【求助】,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"郑州
一些救助统计🙏包括避难场所‼️
‼️患者救助群O网页链接群里都是职业医生！公益咨询就医！
1⃣️河南全省救援电话统计O网页链接
2⃣️民间车队救援O网页链接
3⃣️郑州新密指防办O网页链接
4⃣️提供临时住宿O网页链接
5⃣️求助单填写会派救援队支援O网页链接
孕妇救援需要👉‼️1⃣️O网页链接
孕妇救援‼️👉2⃣️O网页链接
新增皮艇救援‼️👉O网页链接

长裤制作救生圈方法O网页链接
紧‼️急‼️避‼️难‼️场‼️所‼️
1⃣️郑州图书馆O网页链接
2⃣️商务内环新澳大厦10楼""河南实荣筒仓工程有限公司""O网页链接
3⃣️地铁姚砦站附近O网页链接
4⃣️郑州市金水区兴荣街东济堂中医馆O网页链接
5⃣️君烨民俗O网页链接
6⃣️南五里堡双线地铁口附近O网页链接
郑州金水区未来路和商城路交叉口附近小区O网页链接
飞龙路索河路交叉口惠普路碧桂园熙园O网页链接
政七街29号院O网页链接
宇通工业园与黄科大附近O网页链接
高新区玉兰街石楠路洼刘新城A区O网页链接
南三环地铁口O网页链接
#河南暴雨救援#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
扩散‼️郭家嘴水库泄洪‼️沿嵩山路两侧居民、商铺现在马上到4层楼层位置‼️立刻马上‼️,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🆘新增漏电区域❗️❗️❗️

1⃣️工业路昆仑路，高压电线漏电
2⃣️新建街淮阳路与金屏路之前的变压器发生爆炸
3⃣️丹江北路，路面塌陷水里有电
4⃣️友谊街十六幼儿园，树木倾倒砸到树枝，压到电线，存在重大安全隐患!
5⃣️开封市顺河回族区新曹路与阳光路交叉路口，电线走电已经好几天，离地大概1.4米，现在雨不停，水即将淹没到小区一楼，附近很多小区，若电线走电后果不堪设想！住在附近的朋友注意防范！
6⃣️金华路中心路交叉口东北角，路台人行道上塌陷巨坑。
7⃣️紫玉路路面塌方
8⃣️荥阳市广武路步行街东口出现窨井盖缺失和塌方",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨救援#❗❗//@韩流:正确号码15239192777金水区东风路经三路路口项目部目前还没被救援！！#河南暴雨#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【河南省防办：7月21日凌晨3时将防汛应急响应级别由Ⅱ级提升为Ⅰ级】从河南省防办获悉，鉴于河南省暴雨持续，郑州市城区严重内涝，铁路公路民航运输受到严重影响，郑州市二七区郭家咀水库发生溃坝，贾鲁河、伊河等发生险情，防汛形势异常严峻。根据《河南O网页链接,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【求救‼️】
郑州西三环东原阅城售楼部附近，
情况从下午三点钟被困在车上，现在喝的水也快没了，雨一刻钟都没停过，报警电话也一直占线，附近没有电，商店，也没有没有有热水的地方，我们靠水库很近
附近有几十个人目前水位一米左右
核实过
电话17698083710（截止至2:26分未救援）
#河南暴雨救援#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"郑州我是帮转‼️
#郑州暴雨##郑州暴雨救援##郑州暴雨互助#求求大家关注一下这个小地方吧！家人去办事被困在米河镇🙏🙏🙏🙏巩义市米河镇信号塔被冲毁，通讯中断，停水停电，310国道被淹没，整个镇处于失联状态，家里人都联系不上，外面的人进不去，里面的人出不来！💔💔💔

米河镇请求支援！米河镇请求支援！求转发[流泪][/cp]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.213.40
3:20打电话确认还未获救！
帮扩【失血过多有生命危险】
救命阿救救他失血过多了
谁现在能联系上救援队，
位置【东风路经三路，宏都花园】
联系方式【13673638658】
有紧急伤员需要救治，110，120，119，现在都联系不上，伤者有生命危险！人现在失血过多，十万火急！十万火急🙏🏻
#河南暴雨救援#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
从下午到现在，河南一定行因为暴雨被困郑州高铁站，恰好遇到了一个小朋友交响乐团，孩子们就在高铁站里吹起了《歌唱祖国》，原本焦灼的氛围顿时变得温情而励志，这是我今天看到的正能量。t.cn/A6fRPnI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨##河南暴雨救援#求扩散❗️❗️立即撤离❗️❗️【撤离通知】接通知，因郭家嘴水库泄洪，请嵩山路两侧居的居民、商铺现在马上到4楼以上位置！！立即，迅速！！2021.7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"河南转‼️‼️
截止凌晨1点，网上求助信息汇总：
（帮忙转发扩散！！！！）荥阳市崔庙镇王宗店村房子塌了，一对母女被困塌房里，孩子才4个月！刚刚联系了依然没有被救出，寻求支持皮划艇救援！！！
帮转【幼儿园的小朋友们】郑州陇海路京广路往东200米路南燕蓉希望幼儿园一楼教室已经积水小朋友们被困在幼儿园内路段积水严重报警电话都在忙求助！！
【转网友求救】绿博大道良秀路交叉口工地，门口工地塌了，出不来都在喊救命！！！19137185752
【转网友求救】郑大三附院康复后街5号楼，宝宝还不到两个星期，宝宝妈妈还没出月子，车子在门口完全淹没了，六个人就近躲在路边小餐馆，宝宝太小了治疗黄疸在医院刚晒了一星期蓝光，七个小时了，救命宝宝妈妈18438592296宝宝爸爸13349942294
【转】巩义市米河镇信号塔被冲毁，通讯中断，停电，310国道被淹没，汜水河浸出河岸，整个镇处于失联状态
【转】郑州文庙站地铁站口现在还有一百多人被困
【转】十几个孩子李琦老师的爱人和孩子车上拉了十几个孩子，堵在中州大道三全路下口动不了，所有救援电话打不通，谁那里能联系到救援艇，或者在下桥口接一下也行，距离郑东新区中州大道小学很近，联系电话13803845618、15617444931
【转】河南姐妹求助：13733809399刘，经三路农科路世纪华联，一男一女带2岁小女孩，被困10个小时，孩子和大人饥寒交迫，停车场水位已经超过成年男性身高。还有多人同时被困。
帮转【求助人姓名】李坤鹏【联系电话】15539497895【需求内容】车已熄火，近20人被困在车内等待救援，已经在车内等待5个小时了！【被救助人位置】郑州市中牟县良秀路杨桥大道永盛家园东门路边交通驾校车上【当前情况】车上现在有近20人被困，车子熄火【求助时间】2021.7.21日00:03
【转】几百号人被困在京广路与陇海路高架上，高架下边水漫过胸口，一天没吃东西了，全身都是湿的，高架上冻死了。🆘高架下边还有站在车顶的人等待救援。
【寻人启事】爷爷在河南巩义市北山口被洪水冲走目前无联系，若有人看见一老人请联系13017650216或13703828108",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨##河南暴雨救援#
帮扩散❗️❗️这个人多帮扩扩🆘🆘🆘🆘🆘🆘
代转：刚刚已核实，急需救援，其中有我的妈妈。凌晨3:23分。金水路未来路交叉口附近，金水路广汇pama小区金水区司法局未来路司法所对面未来大球场有七人滞留，都是五十多岁的老人已在雨中7个小时，周围都是积水，目前还在淋雨！急需救援！
联系电话1⃣王女士：15237108652
2⃣18337800280此信息已沟通必须大吊车皮艇水深太多，车辆过不去！！！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【‼️紧急扩散‼️】
①【郑州青年路新向民前方报停旁边的变压器漏电】
②【郑州科学大道与荣泽大道交叉口东北角路面塌陷】
③【郑州政七街红旗路路口高压电漏电‼️】
郑州经四路变压器漏电】
④【郑州科学大道金梭路鱼尾狮附近有天然气泄露，各人员不要走动，不要用明火不要靠近窗户‼️】
⑤【郑州中原西路与桃贾路已断，经过一定要注意‼️】
⑥【新乡市丰华街与华兰大道交叉口东南角配电箱漏电‼️】
⑦【玉兰街与金梭交叉口附近公关卫生间高压线爆了‼️】",,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新密市气象局】2021年07月21日03时55分继续发布暴雨红色预警信号：未来3小时内，新密市区及所辖乡镇降水持续，累积降水量将达100毫米以上，请注意防范。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【东风南路与榆林南路路口】【海马公园】【五位女生被困】,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨#‼️
⚠️

⚠️⚠️整理了一下新出现的转发少的
【避难场所】和【救援】‼️

水上俱乐部救援O网页链接

怀孕急救O网页链接

聋哑人求助O网页链接

救援车辆O网页链接

青企协临时救助点O网页链接

花园路国基路蜜蜂幼儿园O网页链接

郑州新天地附近O网页链接

西四环附近体育馆O网页链接

M2公司千玺广场O网页链接

歌迷量贩KTV提供留宿O网页链接

郑州东站O网页链接

郑州科技馆连云路长江路附近
O网页链接

中洲大道宫O网页链接

郑州世贸大厦O网页链接

绿地新都会O网页链接

东区双子塔O网页链接

东济堂O网页链接

郑开大道O网页链接

郑州爱都沪美人O网页链接

管城回族区校园避难O网页链接

科学大道丁香里路O网页链接

商务内环新澳大厦10楼
O网页链接

地铁一号线郑州大学站附近
O网页链接",,,,,,,,,,,,,,,,,,,,,,,,,,,,
转//@韩流:河南省郑州市惠济区福利院路北环西湖花园十五岁女孩失联#河南暴雨#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"帮扩 ❗ ❗ ❗ ❗
郑州陇海路第19高级中学！！！
5个大人一个小孩
求救🆘求救🆘求救🆘
求救人电话：15136936360（梦含）

帮扩‼️‼️‼️小孩发烧❗
东明路和商城路十字路口水已经淹到脖子了 郑州京广路高架有200多个人 有小孩在发烧 还有新郑机场 京广高架 G1812 请求支援请求支援🆘🆘🆘🆘🆘🆘 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"博君一肖

帮扩❗️❗️
刚刚已核实，急需救援，凌晨3:23分。
金水路未来路交叉口附近，金水路广汇pama小区金水区司法局未来路司法所对面 未来大球场 有七人滞留，都是五十多岁的老人 已在雨中7个小时，周围都是积水，目前还在淋雨！急需救援！联系电话
1⃣️王女士：152 3710 8652
2⃣️18337800280

（获救提醒我删）‼️ ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"困在路上没地方去的朋友就近搜索歌迷量贩KTV
歌迷KTV郑州所有门店
免费提供留宿
免费提供矿泉水等简单食物

急求扩散，愿所有人平安无恙

如果有人被困在未来路纬五路纬四路附近可以搜索阿琳娜秘密厨房 店里有热水和食物 可以留宿
大家帮忙转发一下 给有需要的人看到。 @刘不方_ @joejklmn ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
注意：未来2小时 #郑州雨势再次加强#！目前郑州市暴雨红色、雷电黄色预警中。请注意防范！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
